round,distance
1,339
2,340
3,339
4,338
5,338
6,338
7,341
8,341
9,342
10,341
11,341
12,344
13,343
14,346
15,347
16,349
17,350
18,353
19,356
20,359
21,359
22,364
23,366
24,366
25,371
26,375
27,376
28,380
29,384
30,388
31,387
32,396
33,395
34,402
35,410
36,410
37,413
38,421
39,427
40,413
41,416
42,423
43,426
44,434
45,434
46,441
47,439
48,437
49,434
50,430
51,423
52,416
53,411
54,405
55,399
56,397
57,387
58,386
59,376
60,373
61,368
62,363
63,361
64,357
65,353
66,349
67,345
68,342
69,339
70,336
71,355
72,347
73,344
74,341
75,339
76,335
77,332
78,331
79,328
80,327
81,326
82,323
83,322
84,321
85,321
86,320
87,317
88,315
89,316
90,314
91,314
92,341
93,340
94,341
95,343
96,352
97,342
98,353
99,355
100,345
101,358
102,358
103,360
104,364
105,364
106,366
107,367
108,369
109,374
110,375
111,376
112,379
113,370
114,384
115,388
116,391
117,396
118,398
119,400
120,407
121,411
122,417
123,419
124,431
125,435
126,435
127,451
128,458
129,459
130,458
131,455
132,451
133,438
134,432
135,426
136,408
137,400
138,396
139,393
140,385
141,376
142,372
143,366
144,364
145,354
146,350
147,349
148,342
149,339
150,337
151,332
152,331
153,326
154,323
155,322
156,320
157,316
158,314
159,312
160,310
161,307
162,305
163,304
164,303
165,300
166,298
167,296
168,295
169,293
170,291
171,290
172,287
173,288
174,285
175,285
176,286
177,285
178,285
179,285
180,285
181,285
182,285
