Time,Raw_Distance,Filtered_Distance
0.204423189163208,91.0,91.0
0.20546507835388184,91.1,91.05
0.2085566520690918,90.8,91.0
0.2085566520690918,89.6,90.9
0.22854328155517578,89.6,90.8
0.2491762638092041,89.6,89.6
0.4090545177459717,87.2,89.6
0.4090545177459717,87.2,89.6
0.41105055809020996,84.9,87.2
0.4285910129547119,82.2,87.2
0.42959141731262207,79.6,84.9
0.4492795467376709,79.6,82.2
0.4700145721435547,77.8,79.6
0.61427903175354,77.8,79.6
0.61427903175354,76.4,77.8
0.61427903175354,76.4,77.8
0.6152825355529785,75.5,76.4
0.6295702457427979,75.5,76.4
0.6295702457427979,74.2,75.5
0.6528787612915039,74.2,75.5
0.6690781116485596,74.2,74.2
0.6891007423400879,73.1,74.2
0.8200294971466064,73.1,74.2
0.8210251331329346,71.5,73.1
0.822131872177124,69.4,73.1
0.823143482208252,69.4,71.5
0.829265832901001,67.4,69.4
