pitch_angle,yaw_angle,distance
-0.7,0.0,276
-0.7,-0.9,276
-0.7,-1.9,276
-0.7,-2.9,275
-0.7,-3.9,276
-0.7,-4.9,279
-0.7,-5.8,278
-0.7,-7.0,278
-0.7,-7.9,280
-0.7,-8.7,279
-0.8,-9.8,282
-0.7,-10.6,282
-0.8,-12.0,283
-0.8,-13.1,287
-0.8,-13.8,288
-0.8,-14.9,289
-0.8,-15.9,294
-0.8,-16.9,295
-0.8,-17.9,298
-0.8,-18.9,300
-0.8,-19.8,300
-0.8,-20.9,304
-0.9,-21.9,307
-0.8,-22.9,316
-0.9,-23.9,314
-0.9,-24.8,318
-0.9,-25.8,323
-0.9,-26.8,325
-0.9,-27.8,328
-0.9,-28.9,329
-0.9,-29.0,330
-0.9,-30.4,335
-0.9,-31.9,345
-0.9,-31.9,343
-0.9,-33.9,358
-0.9,-34.9,360
-0.9,-35.9,369
-0.9,-36.9,374
-0.9,-37.9,364
-0.9,-39.0,370
-0.9,-39.7,365
-0.9,-40.7,383
-0.9,-41.9,383
-0.9,-42.6,386
-1.0,-43.8,387
-0.9,-44.7,385
-0.9,-45.6,383
-1.0,-46.9,372
-1.0,-47.9,367
-0.9,-49.1,365
-1.0,-49.9,352
-1.0,-50.9,345
-1.0,-51.9,337
-1.0,-52.6,338
-1.0,-53.3,332
-1.0,-55.0,321
-1.0,-55.5,322
-1.0,-56.3,317
-1.0,-57.3,311
-1.0,-58.2,307
-1.0,-59.6,302
-1.0,-60.9,296
-1.0,-61.4,295
-1.0,-62.9,288
-1.0,-63.9,284
-1.0,-64.9,280
-1.0,-65.8,277
-1.0,-67.0,274
-1.0,-67.8,271
-1.0,-68.9,269
-1.0,-69.1,269
-1.0,-69.8,285
-1.0,-70.9,279
-1.0,-71.9,274
-1.0,-72.9,271
-1.0,-74.8,267
-1.0,-75.9,265
-1.0,-76.1,263
-0.9,-77.9,261
-0.9,-79.0,259
-0.9,-80.0,258
-0.9,-81.0,256
-0.9,-82.0,254
-0.9,-83.1,253
-0.9,-84.1,254
-0.9,-84.9,251
-0.9,-86.0,251
-0.9,-85.9,250
-0.9,-87.9,249
-0.9,-88.9,247
-0.9,-89.9,247
-1.3,0.0,271
-1.3,0.7,270
-1.3,1.6,271
-1.4,2.9,271
-1.4,3.9,273
-1.4,4.8,273
-1.4,5.9,276
-1.4,6.9,275
-1.4,7.9,275
-1.4,8.8,277
-1.4,10.0,276
-1.4,9.9,279
-1.4,10.9,280
-1.4,11.9,280
-1.4,12.9,284
-1.4,14.0,284
-1.4,15.0,284
-1.4,17.1,289
-1.3,18.2,293
-1.3,18.8,293
-1.3,20.0,296
-1.3,21.0,299
-1.3,22.0,301
-1.3,22.9,304
-1.3,24.0,308
-1.2,24.9,310
-1.2,25.8,313
-1.2,26.4,315
-1.2,27.8,317
-1.2,28.7,319
-1.2,29.6,323
-1.2,30.7,332
-1.1,31.5,334
-1.1,32.5,336
-1.1,33.0,345
-1.1,35.0,350
-1.1,36.0,358
-1.1,36.9,363
-1.1,37.9,367
-1.1,39.0,368
-1.0,40.0,372
-1.0,40.9,373
-1.0,41.7,373
-1.0,42.3,370
-1.0,44.0,362
-1.0,45.0,357
-1.0,45.9,357
-1.0,46.9,343
-0.9,47.8,340
-0.9,48.7,340
-0.9,48.9,335
-0.9,50.9,319
-0.9,51.6,317
-0.9,52.9,308
-0.9,53.9,301
-0.9,54.9,297
-0.8,55.9,292
-0.8,56.4,294
-0.8,57.8,285
-0.8,58.3,285
-0.8,60.0,275
-0.8,60.3,276
-0.8,61.0,273
-0.8,62.0,268
-0.8,63.1,267
-0.8,64.8,261
-0.8,64.9,260
-0.8,67.0,256
-0.8,67.0,254
-0.8,69.0,250
-0.8,70.0,249
-0.7,70.8,247
-0.7,72.0,245
-0.7,72.9,244
-0.7,73.9,241
-0.8,74.8,239
-0.8,74.8,240
-0.7,76.8,237
-0.7,76.9,236
-0.7,79.0,233
-0.8,80.0,233
-0.7,81.0,233
-0.7,81.9,230
-0.8,83.0,230
-0.8,84.1,228
-0.8,85.1,229
-0.8,86.1,227
-0.8,86.9,229
-0.8,88.1,228
-0.8,89.1,228
-0.8,90.0,227
